Order_ID,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min
1000,9.68kilometer,Wndy,Low,Morning,Bike,11.0,1.0,52.0
1001,23.79 km,Fogy,Medium,Morning,Bike,17.0,2.0,154.0
1002,18.43 km,Cldy,Low,Night,Bike,26.0,8.0,66.0
1003,15.17 km,Cldy,Low,Morning,Scooter,,5.0,75.0
1004,4.32 km,Cldy,Low,Evening,Bike,12.0,5.0,33.0
1005,4.32km,Cloudy,Low,Morning,Bike,30.0,7.0,47.0
1006,1.92 km,Clear#,Medium,Morning,Bike,33.0,1.0,52.0
1007,21.72 km,Cloudy,Medium,Evening,Bike,34.0,1.0,160.0
1008,15.23 km,Cler,Medium,Evening,Bike,30.0,8.0,95.0
1009,17.85 km,Clear,High,Afternoon,Scooter,12.0,6.0,111.0
1010,1.0 km,Cloudy#,High,Morning,Scooter,24.0,3.0,55.0
1011,24.26KM,Clear,High,Afternoon,Bike,21.0,3.0,139.0
1012,20.89 km,Clear,Medium,Morning,Bike,7.0,4.0,100.0
1013,5.7 km,Clear,Medium,Night,Bike,13.0,3.0,31.0
1014,4.95 km,Foggy,Low,Afternoon,Bike,10.0,6.0,23.0
1015,4.99 km,Clear,High,Night,Bike,5.0,4.0,28.0
1016,7.95 km,Clear,High,Afternoon,Scooter,23.0,6.0,68.0
1017,13.36 km,Windy,Low,Evening,Scooter,12.0,2.0,84.0
1018,11.08 km,Cloudy,High,Morning,Bike,16.0,3.0,80.0
1019,7.64 km,Clear,Medium,Evening,Scooter,6.0,8.0,42.0
1020,15.49 km,Clear,Low,Morning,Bike,13.0,4.0,73.0
1021,3.92 km,Clear,High,Evening,Car,29.0,5.0,69.0
1022,7.66 km,Clear#,Medium,Afternoon,Scooter,8.0,9.0,39.0
1023,9.48 km,Clear,Low,Evening,Bike,24.0,8.0,57.0
1024,11.67 km,Clear,Medium,Evening,Scooter,9.0,4.0,69.0
1025,19.74KM,Rainy,High,Evening,Bike,33.0,4.0,211.0
1026,5.39 km,Cloudy,Medium,Morning,Scooter,12.0,4.0,47.0
1027,13.1KM,Cloudy,Medium,Afternoon,Bike,24.0,9.0,72.0
1028,15.01 km,Clear,High,Afternoon,Bike,,3.0,82.0
1029,1.64 km,Clear,Low,Morning,Bike,7.0,9.0,8.0
1030,15.38 km,Rainy,Medium,Afternoon,Bike,13.0,8.0,85.0
1031,4.68 km,Clear#,Medium,Night,Scooter,17.0,4.0,36.0
1032,2.09 km,Windy,High,Night,Scooter,21.0,8.0,40.0
1033,23.75 km,Cloudy,Medium,Morning,Bike,12.0,3.0,127.0
1034,24.16 km,Rainy,High,Night,Bike,27.0,4.0,170.0
1035,20.31 km,Clear,High,Night,Bike,30.0,8.0,112.0
1036,999 km,Clear@,High,Morning,Bike,12.0,7.0,46.0
1037,2.89 km,Rainy,Low,Evening,Bike,19.0,4.0,42.0
1038,17.26 km,Rainy,High,Night,Car,22.0,1.0,176.0
1039,11.28 km,Clear,High,Afternoon,Scooter,14.0,6.0,76.0
1040,3.49 km,Foggy,Low,Afternoon,Bike,27.0,1.0,49.0
1041,12.63 km,Clear@,Medium,Evening,Car,8.0,8.0,76.0
1042,1.34 km,Clear#,High,Morning,Scooter,21.0,4.0,44.0
1043,22.78 km,Cloudy,Low,Morning,Bike,23.0,7.0,102.0
1044,6.84 km,Rainy,Low,Evening,Bike,9.0,7.0,47.0
1045,,Foggy,High,Morning,Bike,16.0,4.0,139.0
1046,8.14 km,Clear,High,Evening,Bike,24.0,1.0,84.0
1047,13.24 km,Clear,Low,Morning,Scooter,28.0,5.0,78.0
1048,13.89 km,Cloudy,Medium,Afternoon,Scooter,22.0,9.0,82.0
1049,5.03 km,Clear,High,Afternoon,Bike,28.0,7.0,60.0
1050,24.25 km,Clear,High,Evening,Bike,30.0,5.0,171.0
1051,19.49 km,Cloudy,High,Night,Bike,30.0,6.0,118.0
1052,23.52 km,Clear,High,Evening,Bike,25.0,1.0,170.0
1053,22.42km,Cloudy,High,Evening,Bike,34.0,9.0,169.0
1054,15.15 km,Clear@,High,,Car,22.0,6.0,126.0
1055,23.09 km,Rainy,Low,Afternoon,Bike,32.0,2.0,134.0
1056,2.67 km,Cloudy,Low,Morning,Car,14.0,6.0,36.0
1057,5.3 km,Clear,Medium,Morning,Scooter,16.0,3.0,
1058,999 km,Clear,Medium,Afternoon,Scooter,12.0,5.0,23.0
1059,8.47 km,Clear,Low,Afternoon,Scooter,34.0,3.0,69.0
1060,10.02km,Clear,Medium,Morning,Bike,5.0,6.0,46.0
1061,7.15 km,Cloudy,High,Morning,Scooter,18.0,1.0,81.0
1062,20.8 km,Foggy,High,Afternoon,Bike,25.0,2.0,164.0
1063,9.24 km,Cloudy,Low,Morning,Car,5.0,1.0,59.0
1064,7.38km,Cloudy,Medium,Morning,Scooter,5.0,3.0,50.0
1065,13.8 km,Clear,Medium,Afternoon,Car,31.0,1.0,116.0
1066,3.95 km,Clear,High,Morning,Car,31.0,1.0,73.0
1067,999 km,Windy,Medium,Morning,Bike,6.0,,106.0
1068,999 km,Foggy,High,Afternoon,Car,12.0,9.0,35.0
